cid,cmpdname,canonicalsmiles,sensitizer
6,Dinitrochlorobenzene,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,1
177,Acetaldehyde,CC=O,1
240,Benzaldehyde,C1=CC=C(C=C1)C=O,1
244,Benzyl Alcohol,C1=CC=C(C=C1)CO,1
289,Catechol,C1=CC=C(C(=C1)O)O,1
299,Chlordecone,C1(=O)C2(C3(C4(C1(C5(C2(C3(C(C45Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl)Cl,1
301,Chlorohydroquinone,C1=CC(=C(C=C1O)Cl)O,1
303,"Cholan-24-oic acid, 3,7,12-trihydroxy-, (3alpha,5beta,7alpha,12alpha)-",CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,1
312,Chloride Ion,[Cl-],1
323,Coumarin,C1=CC=C2C(=C1)C=CC(=O)O2,1
326,Cuminaldehyde,CC(C)C1=CC=C(C=C1)C=O,1
338,Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O,1
359,Phloroglucinol,C1=C(C=C(C=C1O)O)O,1
403,p-Aminophenol,C1=CC(=CC=C1N)O,1
428,"1,3-Diaminopropane",C(CN)CN,1
460,Guaiacol,COC1=CC=CC=C1O,1
469,2-Aminohexanedioic acid,C(CC(C(=O)O)N)CC(=O)O,1
541,4-Nitrobenzaldehyde,C1=CC(=CC=C1C=O)[N+](=O)[O-],1
650,Diacetyl,CC(=O)C(=O)C,1
660,"3,4-Dihydrocoumarin",C1CC(=O)OC2=CC=CC=C21,1
674,Dimethylamine,CNC,1
700,Monoethanolamine,C(CO)N,1
712,Formaldehyde,C=O,1
727,Hexachlorocyclohexane,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl,1
756,Glycolaldehyde,C(C=O)O,1
760,Glyoxylic acid,C(=O)C(=O)O,1
774,Histamine,C1=C(NC=N1)CCN,1
785,Hydroquinone,C1=CC(=CC=C1O)O,1
787,Hydroxylamine,NO,1
807,Iodine,II,1
864,Thioctic acid,C1CSSC1CCCCC(=O)O,1
880,Methylglyoxal,CC(=O)C=O,1
899,N-Acetylhexosamine,CC(=O)NC1C(C(C(OC1O)CO)O)O,1
931,Naphthalene,C1=CC=C2C=CC=CC2=C1,1
935,Nickel,[Ni],1
947,Nitrogen,N#N,1
949,"N,N-Dimethylaniline",CN(C)C1=CC=CC=C1,1
978,4-Aminobenzoic Acid,C1=CC(=CC=C1C(=O)O)N,1
980,4-Nitrophenol,C1=CC(=CC=C1[N+](=O)[O-])O,1
995,Phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,1
998,Phenylacetaldehyde,C1=CC=C(C=C1)CC=O,1
1057,Pyrogallol,C1=CC(=C(C(=C1)O)O)O,1
1065,"Cinchonan-9-ol, 6'-methoxy-, (8alpha,9R)-",COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,1
1103,Spermine,C(CCNCCCN)CNCCCN,1
1131,Thiamine monophosphate,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCOP(=O)(O)O,1
1133,Thioglycolic acid,C(C(=O)O)S,1
1183,Vanillin,COC1=C(C=CC(=C1)C=O)O,1
1188,Xanthine,C1=NC2=C(N1)C(=O)NC(=O)N2,1
1483,"2,4,6-Tribromophenol",C1=C(C=C(C(=C1Br)O)Br)Br,1
1486,"2,4-Dichlorophenoxyacetic Acid",C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,1
1488,"Methyl (2,4-dichlorophenoxy)acetate",COC(=O)COC1=C(C=C(C=C1)Cl)Cl,1
1490,"Methyl 4-(2,4-dichlorophenoxy)butanoate",COC(=O)CCCOC1=C(C=C(C=C1)Cl)Cl,1
1520,2-(Butylamino)ethanethiol,CCCCNCCS,1
1567,Beta-Mercaptoethanol,C(CS)O,1
1639,Amitrole,C1=NNC(=N1)N,1
1643,3-Amino-N-ethyl-4-phenoxy-N-phenylbenzenesulphonamide,CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)OC3=CC=CC=C3)N,1
1672,3-Methoxypropylamine,COCCCN,1
1720,"4-Amino-1,8-naphthalimide",C1=CC2=C(C=CC3=C2C(=C1)C(=O)NC3=O)N,1
1731,4-Chlororesorcinol,C1=CC(=C(C=C1O)O)Cl,1
1732,4-Chloro-3-methylphenol,CC1=C(C=CC(=C1)O)Cl,1
1775,Phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,1
1807,"5-Bromo-5-Nitro-1,3-Dioxane",C1C(COCO1)([N+](=O)[O-])Br,1
1923,Oxyquinoline,C1=CC2=C(C(=C1)O)N=CC=C2,1
1984,Acetaminosalol,CC(=O)NC1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,1
1988,Acetochlor,CCC1=CC=CC(=C1N(COCC)C(=O)CCl)C,1
2078,Alachlor,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,1
2083,Albuterol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,1
2116,DL-alpha-Tocopherol,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,1
2140,Diatrizoic Acid,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I,1
2206,Antipyrine,CC1=CC(=O)N(N1C)C2=CC=CC=C2,1
2256,Atrazine,CCNC1=NC(=NC(=N1)Cl)NC(C)C,1
2263,"Dimethyl 12-acetyloxy-4,7-dihydroxy-6-(2-hydroxy-11-methyl-5,7,10-trioxatetracyclo[6.3.1.02,6.09,11]dodec-3-en-9-yl)-6-methyl-14-(2-methylbut-2-enoyloxy)-3,9-dioxatetracyclo[6.6.1.01,5.011,15]pentadecane-4,11-dicarboxylate",CC=C(C)C(=O)OC1CC(C2(COC3C2C14COC(C4C(C3O)(C)C56C7CC(C5(O6)C)C8(C=COC8O7)O)(C(=O)OC)O)C(=O)OC)OC(=O)C,1
2265,Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],1
2268,Azinphos-methyl,COP(=S)(OC)SCN1C(=O)C2=CC=CC=C2N=N1,1
2269,"2-ethyl-3,4,10-trihydroxy-3,5,6,8,10,12,14-heptamethyl-15-oxo-11-{[3,4,6-trideoxy-3-(dimethylamino)hexopyranosyl]oxy}-1-oxa-6-azacyclopentadecan-13-yl 2,6-dideoxy-3-C-methyl-3-O-methylhexopyranoside",CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,1
2274,"2-[[1-(2-Amino-1,3-thiazol-4-yl)-2-[(2-methyl-4-oxo-1-sulfoazetidin-3-yl)amino]-2-oxoethylidene]amino]oxy-2-methylpropanoic acid",CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,1
2284,Baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,1
2286,Bisphenol A diglycidyl ether,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4,1
2319,Benfluralin,CCCCN(CC)C1=C(C=C(C=C1[N+](=O)[O-])C(F)(F)F)[N+](=O)[O-],1
2328,Bentazone,CC(C)N1C(=O)C2=CC=CC=C2NS1(=O)=O,1
2336,Benzo[a]pyrene,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,1
2337,Benzocaine,CCOC(=O)C1=CC=C(C=C1)N,1
2343,Benzthiazide,C1=CC=C(C=C1)CSCC2=NS(=O)(=O)C3=CC(=C(C=C3N2)Cl)S(=O)(=O)N,1
2355,Bergapten,COC1=C2C=CC(=O)OC2=CC3=C1C=CO3,1
2365,Propiolactone,C1COC1=O,1
2374,"2,5-Di-tert-butylhydroquinone",CC(C)(C)C1=CC(=C(C=C1O)C(C)(C)C)O,1
2466,Bufexamac,CCCCOC1=CC=C(C=C1)CC(=O)NO,1
2481,Butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,1
2482,Butyl 4-aminobenzoate,CCCCOC(=O)C1=CC=C(C=C1)N,1
2537,Camphor,CC1(C2CCC1(C(=O)C2)C)C,1
2554,Carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,1
2622,"7-[[2-(2-Amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(1-methylpyrrolidin-1-ium-1-yl)methyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-],1
2632,Cefotaxime (sodium salt),CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)O,1
2639,"7-[[2-(5-Amino-1,2,4-thiadiazol-3-yl)-2-methoxyiminoacetyl]amino]-3-(imidazo[1,2-b]pyridazin-1-ium-1-ylmethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",CON=C(C1=NSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=C5C=CC=NN5C=C4)C(=O)[O-],1
2645,"1-propan-2-yloxycarbonyloxyethyl (6R,7R)-7-[[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-(methoxymethyl)-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",CC(C)OC(=O)OC(C)OC(=O)C1=C(CSC2N1C(=O)C2NC(=O)C(=NOC)C3=CSC(=N3)N)COC,1
2650,"7-[[2-(2-Amino-1,3-thiazol-4-yl)-2-(2-carboxypropan-2-yloxyimino)acetyl]amino]-8-oxo-3-(pyridin-1-ium-1-ylmethyl)-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylate",CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-],1
2655,"7-[[2-(2-Amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",CON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=CCS3)C(=O)O,1
2657,"7-[[2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(2-methyl-5,6-dioxo-1H-1,2,4-triazin-3-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid",CN1C(=NC(=O)C(=O)N1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O,1
2659,3-(Carbamoyloxymethyl)-7-[[2-(2-furanyl)-2-methoxyimino-1-oxoethyl]amino]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)O,1
2662,Celecoxib,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,1
